fecha,id_tienda,id_producto,unidades_vendidas,nombre,categoria,costo_unitario,precio_venta,costo_almacenamiento_semanal,ciudad,tamaño_m2,stock_actual,day_of_week,week,month,quarter,day,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7
2024-01-15,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,3,1,1,15,0,6.0,8.0,5.0,6.428571428571429,2.9920529661723827
2024-01-16,STORE_01,PROD_001,2,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,3,1,1,16,0,5.0,4.0,4.0,6.0,2.943920288775949
2024-01-17,STORE_01,PROD_001,7,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,3,1,1,17,0,2.0,3.0,3.0,5.714285714285714,3.251373336211726
2024-01-18,STORE_01,PROD_001,7,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,3,1,1,18,0,7.0,7.0,4.0,6.285714285714286,3.0394235042348474
2024-01-19,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,3,1,1,19,0,7.0,5.0,10.0,6.285714285714286,3.0394235042348474
2024-01-20,STORE_01,PROD_001,10,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,3,1,1,20,1,5.0,12.0,8.0,6.285714285714286,3.0394235042348474
2024-01-21,STORE_01,PROD_001,11,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,3,1,1,21,1,10.0,6.0,8.0,6.0,2.449489742783178
2024-01-22,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,4,1,1,22,0,11.0,5.0,8.0,6.714285714285714,3.093772546815388
2024-01-23,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,4,1,1,23,0,5.0,2.0,4.0,6.714285714285714,3.093772546815388
2024-01-24,STORE_01,PROD_001,9,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,4,1,1,24,0,5.0,7.0,3.0,7.142857142857143,2.4784787961282104
2024-01-25,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,4,1,1,25,0,9.0,7.0,7.0,7.428571428571429,2.5727509827124
2024-01-26,STORE_01,PROD_001,20,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,4,1,1,26,0,5.0,5.0,5.0,7.142857142857143,2.734262327610589
2024-01-27,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,4,1,1,27,1,20.0,10.0,12.0,9.285714285714286,5.37631490007439
2024-01-28,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,4,1,1,28,1,5.0,11.0,6.0,8.571428571428571,5.593363414414826
2024-01-29,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,5,1,1,29,0,8.0,5.0,5.0,8.142857142857142,5.490251100164467
2024-01-30,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,5,1,1,30,0,8.0,5.0,2.0,8.571428571428571,5.318431562567509
2024-01-31,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,5,1,1,31,0,5.0,9.0,7.0,8.571428571428571,5.318431562567509
2024-02-01,STORE_01,PROD_001,3,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,5,2,1,1,0,8.0,5.0,7.0,8.428571428571429,5.318431562567509
2024-02-02,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,5,2,1,2,0,3.0,20.0,5.0,8.142857142857142,5.5805785670356025
2024-02-03,STORE_01,PROD_001,10,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,5,2,1,3,1,8.0,5.0,10.0,6.428571428571429,2.0701966780270626
2024-02-04,STORE_01,PROD_001,12,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,5,2,1,4,1,10.0,8.0,11.0,7.142857142857143,2.340126166724879
2024-02-05,STORE_01,PROD_001,2,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,6,2,1,5,0,12.0,8.0,5.0,7.714285714285714,2.984084768360628
2024-02-06,STORE_01,PROD_001,9,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,6,2,1,6,0,2.0,5.0,5.0,6.857142857142857,3.670993118515816
2024-02-07,STORE_01,PROD_001,2,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,6,2,1,7,0,9.0,8.0,9.0,7.428571428571429,3.644957377763735
2024-02-08,STORE_01,PROD_001,3,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,6,2,1,8,0,2.0,3.0,5.0,6.571428571428571,4.1576092031015
2024-02-09,STORE_01,PROD_001,13,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,6,2,1,9,0,3.0,8.0,20.0,6.571428571428571,4.1576092031015
2024-02-10,STORE_01,PROD_001,15,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,6,2,1,10,1,13.0,10.0,5.0,7.285714285714286,4.820590756130958
2024-02-11,STORE_01,PROD_001,9,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,6,2,1,11,1,15.0,12.0,8.0,8.0,5.597618541248888
2024-02-12,STORE_01,PROD_001,9,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,7,2,1,12,0,9.0,2.0,8.0,7.571428571428571,5.349677337844556
2024-02-13,STORE_01,PROD_001,2,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,7,2,1,13,0,9.0,9.0,5.0,8.571428571428571,4.755948656056709
2024-02-14,STORE_01,PROD_001,3,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,7,2,1,14,0,2.0,2.0,8.0,7.571428571428571,5.349677337844556
2024-02-15,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,7,2,1,15,0,3.0,3.0,3.0,7.714285714285714,5.186980037050644
2024-02-16,STORE_01,PROD_001,10,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,7,2,1,16,0,5.0,13.0,8.0,8.0,4.932882862316247
2024-02-17,STORE_01,PROD_001,13,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,7,2,1,17,1,10.0,15.0,10.0,7.571428571428571,4.540820148282424
2024-02-18,STORE_01,PROD_001,6,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,7,2,1,18,1,13.0,9.0,12.0,7.285714285714286,4.029651999626672
2024-02-19,STORE_01,PROD_001,1,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,8,2,1,19,0,6.0,9.0,2.0,6.857142857142857,3.9761191895520205
2024-02-20,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,8,2,1,20,0,1.0,2.0,9.0,5.714285714285714,4.38612531035027
2024-02-21,STORE_01,PROD_001,5,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,8,2,1,21,0,8.0,3.0,2.0,6.571428571428571,4.1173269183271035
2024-02-22,STORE_01,PROD_001,7,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,8,2,1,22,0,5.0,5.0,3.0,6.857142857142857,3.891382420536068
2024-02-23,STORE_01,PROD_001,10,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,8,2,1,23,0,7.0,10.0,13.0,7.142857142857143,3.8047589248453675
2024-02-24,STORE_01,PROD_001,13,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,8,2,1,24,1,10.0,13.0,15.0,7.142857142857143,3.8047589248453675
2024-02-25,STORE_01,PROD_001,10,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,8,2,1,25,1,13.0,6.0,9.0,7.142857142857143,3.8047589248453675
2024-02-26,STORE_01,PROD_001,6,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,9,2,1,26,0,10.0,1.0,9.0,7.714285714285714,3.9036002917941324
2024-02-27,STORE_01,PROD_001,11,Tinto,Bebidas,800,2500,10,Bogotá,28,1,1,9,2,1,27,0,6.0,8.0,2.0,8.428571428571429,2.760262237369416
2024-02-28,STORE_01,PROD_001,4,Tinto,Bebidas,800,2500,10,Bogotá,28,1,2,9,2,1,28,0,11.0,5.0,3.0,8.857142857142858,2.911389784311003
2024-02-29,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,3,9,2,1,29,0,4.0,7.0,5.0,8.714285714285714,3.147183169877772
2024-03-01,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,4,9,3,1,1,0,8.0,10.0,10.0,8.857142857142858,3.0783421635988533
2024-03-02,STORE_01,PROD_001,11,Tinto,Bebidas,800,2500,10,Bogotá,28,1,5,9,3,1,2,1,8.0,13.0,13.0,8.571428571428571,3.0472470011002195
2024-03-03,STORE_01,PROD_001,9,Tinto,Bebidas,800,2500,10,Bogotá,28,1,6,9,3,1,3,1,11.0,10.0,6.0,8.285714285714286,2.6276913640612176
2024-03-04,STORE_01,PROD_001,8,Tinto,Bebidas,800,2500,10,Bogotá,28,1,0,10,3,1,4,0,9.0,6.0,1.0,8.142857142857142,2.544836041121407
